apport_hydro;stock_hydro
0.8;0.75
0.8;0.77
0.8;0.75
0.8;0.78
0.8;0.7
0.8;0.58
0.8;0.5
0.8;0.3
0.8;0.27
0.8;0.38
0.8;0.4
0.8;0.52
0.8;0.7
