apport_hydro;stock_hydro
2.0;0.75
2.0;0.8
2.0;0.83
2.0;0.85
2.0;0.8
2.0;0.68
2.0;0.58
2.0;0.32
2.0;0.25
2.0;0.35
2.0;0.45
2.0;0.55
2.0;0.7
