apport_hydro;stock_hydro
0.2;0.75
0.2;0.77
0.5;0.75
0.6;0.78
1.0;0.7
1.2;0.58
1.0;0.5
0.9;0.3
0.8;0.27
0.7;0.38
0.6;0.4
0.5;0.52
0.4;0.7
