apport_hydro;stock_hydro
1.0;0.75
1.0;0.77
1.0;0.75
1.0;0.78
1.0;0.7
1.0;0.58
1.0;0.5
1.0;0.3
1.0;0.27
1.0;0.38
1.0;0.4
1.0;0.52
1.0;0.7
